advertiser-role,available,brand,days-old,early-bird,id,neighbourhood,postcode,price-per-month,price-per-week,property-type,property-type-more,rooms-in-property,scp,status,title,type,error,date scraped
live out landlord,Available Now,bold,0,,516824,Lewisham,SE13,£695- £745pcm,£161- £172pw,house,,4,,new,Rooms in Professional Houseshare Lewisham SE13    ,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,6631249,Clapton,E5,£750pcm,£174pw,house,,4,,new,"4 bed, 2 bath clean peaceful garden house ",offered,False,2020-01-27 02:47:34.811272
agent,14 Feb,bold,0,,13154785,Maida Vale,W9,£750- £950pcm,£174- £220pw,flat,,4,,new,"Opposite Maida Vale Station, Eat in Kitchen",offered,False,2020-01-27 02:47:34.811272
live out landlord,11 Mar,bold,0,,14448925,Kennington,SE17,"£1,800 pcm",£1pw,flat,,2,Y,new,Bright and airy two bedroom flat in Kennington,offered,False,2020-01-27 02:47:34.811272
agent, 7 Feb,bold,0,,11489683,Kilburn,NW2,£740- £775pcm,£171- £179pw,flat,,4,,new,2 Double Rooms-Kilburn Station-Garden :),offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,22,,14284534,Archway,N19,"£2,200 pcm",£1pw,flat,,3,Y,,Lovely 3 Bed Apartment in Archway N19,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14531008,Canary Wharf,E14,£650- £800pcm,£150- £185pw,flat,,4,,new,Best Room in Canary Now ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14241547,Dalston,N1,£740pcm,£171pw,flat,,3,,new,Big Room in Dalston,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,9865570,Putney,SW15,£730pcm,£169pw,flat,,3,,new,"Amazing Location, Luxury Double Room £730 All Inc",offered,False,2020-01-27 02:47:34.811272
agent, 8 Feb,bold,0,,14411623,Arsenal,N5,£740- £870pcm,£171- £201pw,flat,,5,,new,J) What a posh area!,offered,False,2020-01-27 02:47:34.811272
current flatmate, 8 Mar,bold,0,,11746294,Bow,E3,£750pcm,£174pw,flat,,2,,new,Light and modern double room available,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14368360,Gospel Oak,NW5,£695- £870pcm,£161- £201pw,flat,,4,,new,"Fantastic room -Juliet Balcony, Gospel Oak",offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,14503612,Mile End,E3,£750pcm,£174pw,flat,,2,,new,"Looking for an Easy Going, Tidy Person to Share ",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14405770,Angel,N1,£720- £760pcm,£167- £176pw,flat,,4,,new,Angel's Rooms! Bargain!!,offered,False,2020-01-27 02:47:34.811272
agent,25 Feb,bold,0,,4976194,Canada Water,SE16,£750pcm,£174pw,house,,7,,new,Double room - 1 minute to the station ,offered,False,2020-01-27 02:47:34.811272
agent, 9 Feb,bold,0,,14474047,Docklands,E14,£750pcm,£174pw,house,,4,,new,Good Size Furnished Double Room - Docklands E14,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,0,,14405770,Angel,N1,£720- £760pcm,£167- £176pw,flat,,4,,new,Angel's Rooms! Bargain!!,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,10410883,Clapham South,SW12,£750pcm,£174pw,flat,,2,,new,Amazing and sunny  room  at 2 minutes  from tube,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,0,,14512924,Tufnell Park,N7,£740pcm,£171pw,flat,,4,,new,** Massive Double in Kentish Town **,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14516191,Mile End,E3,£694- £954pcm,£160- £220pw,house,,3,,new,3 Bed Victorian House Back on the Market,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14272456,Wapping,E1,£715- £910pcm,£165- £210pw,property,,3,,new,Huge Rooms short walk to Tower Bridge,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14476912,Whitechapel,E1,£737- £750pcm,£170- £173pw,flat,,3,,new,Whitechapel/Stepney Goodlocation 2Room couple ok ,offered,False,2020-01-27 02:47:34.811272
live out landlord,24 Feb,bold,0,,10017283,Canning Town,E16,£750pcm,£174pw,flat,,3,,new,"Docklands flat, 12th floor ",offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,13783306,Whitechapel,E1,£750- £850pcm,£174- £197pw,flat,,4,,new,Cozy double bedroom you will ever find,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,10143214,Mile End,E3,£737pcm,£170pw,flat,,4,,new,"Bank 2 stops, discounted with Garden! ",offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Feb,bold,0,,14378338,Ladbroke Grove,W11,£750pcm,£174pw,house,,5,,new,A Great Double Room in a Very Friendly House ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9738175,Bromley by Bow,E3,£737pcm,£170pw,flat,,4,,new,"Modern Master Room, available for 2 ",offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,featured,0,,12550462,New Cross Gate,SE14,£737- £824pcm,£170- £190pw,flat,,2,,new,!!!++Large Cosy Triple and Double Room ++!!! ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14153299,Finsbury Park,N4,£737pcm,£170pw,flat,,4,,new,Massive Double Finsbury Park Move Asap ,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,256916,Islington,N1,£750pcm,£174pw,house,,4,,new, Lovely small room in Barnsbury N1,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,13103383,Canning Town,E16,£737pcm,£170pw,flat,,3,,new,Luxury House in Canning Town Move Asap ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,13390774,Whitechapel,E1,£730pcm,£169pw,flat,,5,,new,Spacious double room available in Whitechapel ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9826465,Mile End,E3,£737pcm,£170pw,flat,,4,,new,Liverpool Street 1 stop!,offered,False,2020-01-27 02:47:34.811272
agent, 1 Mar,bold,0,,13668346,Fulham Broadway,SW6,£737pcm,£170pw,flat,,5,,new,Double with Private Bathroom in Fulham Broadway,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9454444,Bow Road,E3,£737pcm,£170pw,flat,,4,,new,Private garden!Liverpool street 3 stops!,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,14340805,Hackney,E9,£737pcm,£170pw,flat,,2,,new,Rent a room ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,9919516,Camberwell,SE5,£737pcm,£170pw,flat,,4,,new,Spacious Double Oval 10 mins,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Feb,bold,0,,1172055,London E15,E15,£750pcm,£174pw,house,,6,,new,"Eleanor Road, London E15",offered,False,2020-01-27 02:47:34.811272
agent,8 Mar,featured,0,,14498293,Holloway,N7,"£1,474pcm",£340 pw,flat,,2,Y,new,Very Nice Lovely 2 Double Bed Garden Flat. ,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,55204,London W3,W3,£750pcm,£174pw,flat,,2,,new,⚜️Beautiful Large  King Size Double ⚜️,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,8439022,Dalston,E8,£650- £850pcm,£150- £197pw,flat,,4,,new,Dalston | Double Room for a single person,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14504062,Forest Gate,E7,£546- £750pcm,£126- £173pw,house,,7,,new,Good Sizes Rooms Near Stratford,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,8051671,Clapham,SW11,£725pcm,£168pw,flat,,4,,new,Clapham South | Amazing  room available ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14533975,East India,E14,£750pcm,£174pw,flat,,5,,new,"Exclusive Property , Perfect Location",offered,False,2020-01-27 02:47:34.811272
agent, 8 Mar,bold,0,,14498293,Holloway,N7,"£1,474pcm",£340 pw,flat,,2,Y,new,Very Nice Lovely 2 Double Bed Garden Flat. ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14476444,Canary Wharf,E14,£750pcm,£174pw,flat,,3,,new,Cheap Rooms to Rent in Canary Wharf ,offered,False,2020-01-27 02:47:34.811272
agent, 1 Mar,bold,0,,11409085,Canary Wharf,E14,£725pcm,£168pw,flat,,3,,new,House Share (Double Room to Rent),offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,0,,14414353,Lewisham,SE13,£750pcm,£174pw,house,,5,,new,Superior House & Room Stn/DLR 5mins,offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,0,,14529025,Fulham,SW6,£735- £820pcm,£170- £190pw,property,,2,,new,2 Doubles 4 Mins To Putney Bridge Station -er.,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,16,,11778952,London NW1,NW1,£750pcm,£174pw,flat,,4,,,"Recently Refurbished Flat, Good Storage, NW1",offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,0,,7286515,Nunhead,SE15,£750pcm,£174pw,house,,3,,new,Beautiful double room in lesbian home in Nunhead,offered,False,2020-01-27 02:47:34.811272
live out landlord,29 Feb,bold,0,,14458105,CLAPHAM,SW8,£650- £885pcm,£150- £205pw,flat,,3,,new,"2 great rooms in modern flat, ALL BILLS incl",offered,False,2020-01-27 02:47:34.811272
current flatmate,13 Feb,bold,0,,11462725,South Hackney,E9,£737pcm,£170pw,flat,,2,,new,Short Sublet - 13Th February -25Th Feb !,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,12351694,Canary Wharf,E14,£737pcm,£170pw,flat,,4,,new,L❤️Vely Double Near Canary Wharf! No Fees,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14470708,Stratford,E15,£737pcm,£170pw,flat,,4,,new, 👏Double Room in Stratford All Bill inc.!!!,offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,0,,12095401,Ladbroke Grove,W10,£737pcm,£171pw,flat,,3,,new,Spacious Double | Ladbroke Grove & Westbourne Park,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,1724418,Holloway,N7,£564- £737pcm,£130- £170pw,flat,,4,,new,3 rooms to let in Islington 1 with own balcony ,offered,False,2020-01-27 02:47:34.811272
agent, 9 Feb,bold,0,,14475607,Canary Wharf,E14,£750pcm,£174pw,flat,,4,,new,Affordable Double. Terraced House. Garden. Dinning,offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,0,,14522776,Whitechapel,E1,£737pcm,£170pw,flat,,5,,new,Opposite Queen Mary New Double 2Toilets ,offered,False,2020-01-27 02:47:34.811272
agent,13 Feb,bold,0,,12436036,Roehampton,SW15,£737pcm,£170pw,flat,,4,,new,~~~~ Lovely Twin Room with Tv  (All Bill Incl),offered,False,2020-01-27 02:47:34.811272
agent,7 Feb,featured,0,,11489683,Kilburn,NW2,£740- £775pcm,£171- £179pw,flat,,4,,new,2 Double Rooms-Kilburn Station-Garden :),offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,13893529,Parsons Green,SW6,£737pcm,£170pw,flat,,5,,new,SW6 7RH  __ Fulham __ Double Room Double Bed    ,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,0,,13800328,Roehampton,SW15,£650- £737pcm,£150- £170pw,flat,,5,,new,Nice Double Room+Living Room+Garden(All Bills Inc),offered,False,2020-01-27 02:47:34.811272
agent, 8 Feb,bold,0,,14025079,All Saints,E14,£620- £750pcm,£144- £174pw,flat,,4,,new,"Canary Wharf,1min to the station. ",offered,False,2020-01-27 02:47:34.811272
agent,28 Feb,bold,0,,8326486,Roehampton,SW15,£650- £780pcm,£150- £180pw,flat,,5,,new,*** Spacious Double & Single Room+Garden,offered,False,2020-01-27 02:47:34.811272
current flatmate,21 Mar,bold,0,,7042150,Stepney Green,E1,£730pcm,£169pw,flat,,2,,new,Spacious double room in East London ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,14356219,Roehampton,SW15,£737pcm,£170pw,flat,,6,,new,Lovely Double Room+ Large Living Room and Garden,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,10018906,Edgware Road,W2,£737pcm,£170pw,property,,5,,new,Warwick Avenue. Nice Double All Bills Included,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,8946979,Roehampton,SW15,£629- £737pcm,£145- £170pw,flat,,5,,new,Spacious Double Rooms 4 Single Use (All Bills Inc),offered,False,2020-01-27 02:47:34.811272
agent,23 Feb,bold,0,,14527300,Clapham Common,SW4,£737pcm,£170pw,flat,,4,,new,Available 23rd of February-Cosy Room In Clapham,offered,False,2020-01-27 02:47:34.811272
live out landlord,21 Feb,bold,0,,14252287,Lambeth,SE5,£750pcm,£174pw,house,,7,,new,One large single room avaiable from 6/1/2020,offered,False,2020-01-27 02:47:34.811272
live out landlord,6 Feb,featured,3,,3475052,Commercial Road,E1,£750pcm,£174pw,house,,6,,new,Double room available FEBRUARY,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,5476192,Clapham Common,SW4,£750pcm,£174pw,house,,5,,new,Single & Large double room in Clapham Common,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,0,,4014490,Finsbury Park,N4,£750pcm,£174pw,house,,4,,new, Double Room Available in Spacious House,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14516428,Broadway Market,E8,£699- £899pcm,£162- £208pw,flat,,4,,new,Lush 2 rooms MINUTES from Shoreditch next to park!,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Mar,bold,1,,12506407,Shepherds Bush,W12,£731pcm,£169pw,flat,,3,,new,"Spacious sunny flat, great location!",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14480344,Hackney,E8,£700- £900pcm,£162- £208pw,flat,,4,,new, 2 Vibe Rooms in Shoreditch next to park + station,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,1,,10903432,London Fields,E8,£730pcm,£169pw,property,,4,,new,Excelent Double Room in heart of Hackney Zone 2 ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14419870,Broadway Market,E8,£607- £954pcm,£140- £220pw,flat,,4,,new,Fruity Rooms in Colorful Broadway Market--E8--,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,1,,3376730,Putney,SW15,£737pcm,£170pw,house,,4,,new,Double room in Putney,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14509252,Bethnal Green,E2,£737- £997pcm,£170- £230pw,flat,,4,,new,4 Double rooms - Bethnal Green ,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,1,,14222179,All Saints,E14,£650- £900pcm,£150- £208pw,flat,,4,,new,Single / double rooms in   Canary wharf e14,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,0,,11798971,Canary Wharf,E14,£750- £950pcm,£174- £220pw,flat,,3,,new,Luxury en-suite  room with Gym access ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14516497,Stratford,E15,£737- £997pcm,£170- £230pw,flat,,4,,new,Stratford - 4 Double rooms - ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,11062885,West Kensington,W14,£735pcm,£170pw,flat,,4,,new,"2 Dbls room Zone2 prof share ALL bills, wifi",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14514355,Canary Wharf,E14,"£737- £1,040pcm",£170- £240pw,flat,,4,,new,4 Double rooms - Canary Wharf - Garden ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14526040,Aldgate East,E1,£750pcm,£174pw,flat,,3,,new,2 Double Room 2 min walk to Stepney Green st ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14522794,Mile End,E3,£694- £954pcm,£160- £220pw,flat,,4,,new,Mile End - 4 Double rooms - Near Center&Stratford,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,1,,14508166,Aldgate East,E1,£737pcm,£170pw,flat,,5,,new,Nice Double Room walk to Mile End st/Stepney Green,offered,False,2020-01-27 02:47:34.811272
former flatmate, 1 Feb,bold,1,,11211997,West Kensington,W14,£725pcm,£168pw,flat,,3,,new,Cozy double room in West Kensington ,offered,False,2020-01-27 02:47:34.811272
former flatmate, 6 Mar,bold,1,,14417029,Brockley,SE4,£725pcm,£168pw,flat,,2,,new,A double room to rent in Brockley SE4,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14534371,Island Gardens,E14,£750pcm,£174pw,flat,,3,,new,Desirable Modern Apartment ,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14476456,Wapping,E1,£672- £954pcm,£155- £220pw,flat,,4,,new,🌈 Great Double Rooms in Wapping,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,3,,14438182,Putney Heath,SW15,£650- £780pcm,£150- £180pw,flat,,5,,new,Very nice double room in Putney Heath ,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,1,,14528857,Canary Wharf,E14,£585- £910pcm,£135- £210pw,flat,,4,,new,⚡DOUBLE R. / Canary Wharf🌈,offered,False,2020-01-27 02:47:34.811272
live out landlord,28 Jan,bold,1,,14506000,Shadwell,E1,£737pcm,£170pw,flat,,3,,new,Double Room Shadwell and Limehouse,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14534203,Canada Water,SE16,£750- £775pcm,£174- £179pw,flat,,3,,new,Striking Beautiful Property Available ,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,1,,13247794,London W2,W2,£750- £900pcm,£174- £208pw,flat,,3,,new,Spacious room in Royal Oak. Great transport links,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14534032,Limehouse,E14,£750- £880pcm,£174- £204pw,flat,,3,,new,"Exclusive 3 Beds Flat, Perfect Location",offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,1,,14530858,London N1,N1,£737- £954pcm,£170- £220pw,flat,,3,,new,3Luxury double Haggerston/Dalston ,offered,False,2020-01-27 02:47:34.811272
agent, 1 Mar,bold,1,,12504553,Hackney,E5,£600- £850pcm,£139- £197pw,house,,6,,new,"Cosy Single Room  £600, available 01/03/20",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14339386,Hackney,E5,£730pcm,£169pw,flat,,4,,new,🌈 Lovely double best London area!!!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14142085,Finsbury Park,N4,£737- £780pcm,£170- £180pw,flat,,4,,new,Amazing Doubles✨10 min to Kings Cross!!!Wow,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,13938388,Bow Road,E3,£650- £780pcm,£150- £180pw,flat,,4,,new,💎 Brand New Rooms Near Zone 1!!!!,offered,False,2020-01-27 02:47:34.811272
agent,1 Feb,featured,0,,7007371,Stepney Green,E1,£730- £760pcm,£169- £176pw,flat,,5,,new,2 Rooms in beautiful Georgian house. No Fees!,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Jun,bold,1,,12043552,Lewisham,SE13,£675- £750pcm,£156- £174pw,house,,4,,new,01/06/20 - Large Student House SE13,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,13720525,Bethnal Green,E2,£737pcm,£170pw,flat,,4,,new,🌈 Bright Double 3Mins to Liverpool Street!!!!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14502289,London E3,E3,£737pcm,£170pw,flat,,2,,new,🔆Bright and Modern Single in Mile End,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,13716895,East Acton,W3,£737- £824pcm,£170- £190pw,flat,,3,,new,💎 Brand New Rooms Central Line! 💎,offered,False,2020-01-27 02:47:34.811272
live out landlord, 1 Feb,bold,1,,3808011,Chiswick,W4,£675- £895pcm,£156- £207pw,flat,,3,,new,"In Chiswick, a Garden Flat, share with friendly...",offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,13269793,Shepherds Bush,W12,£737pcm,£170pw,flat,,3,,new,➽ Amazing  double next to Westfield!!,offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,1,,14477305,Isle of Dogs,E14,£715- £932pcm,£165- £215pw,flat,,4,,new,MUDCHUTE - Bright rooms sited on the main street,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,13481623,Hackney,E8,£672- £780pcm,£155- £180pw,flat,,4,,new,✿ Lovely Doubles in Hackney Central!!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14515663,Aldgate,E1,£689- £889pcm,£159- £205pw,flat,,4,,new,4 Bedroom flat in Aldgate,offered,False,2020-01-27 02:47:34.811272
current flatmate, 2 Feb,bold,1,,13655698,Canada Water,SE16,£750pcm,£174pw,house,,2,,new,Double Room Available in Canada Water,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,0,,13893529,Parsons Green,SW6,£737pcm,£170pw,flat,,5,,new,SW6 7RH  __ Fulham __ Double Room Double Bed    ,offered,False,2020-01-27 02:47:34.811272
agent,20 Feb,bold,1,,12666868,Aldgate,E1,£689- £850pcm,£159- £196pw,flat,,6,,new,Stunning 6 Bedroom House in Aldgate,offered,False,2020-01-27 02:47:34.811272
agent,29 Jan,bold,1,,8099938,Bow,E3,£741pcm,£171pw,flat,,3,,new,Lovely Double Room in Bow E3 (Near Olympic Park),offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,13192531,Canary Wharf,E14,£724pcm,£167pw,flat,,4,,new,4 Bedroom maisonette moments with Garden,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,10366324,Archway,N19,£737pcm,£170pw,flat,,5,,new,Renovated Flat** 5 Min to Northern Line**Zone 2,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Feb,bold,1,,14467192,Barons Court,W6,£750pcm,£174pw,house,,4,,new,Beautiful double bedroom to rent ,offered,False,2020-01-27 02:47:34.811272
current flatmate, 9 Feb,bold,1,,4403395,Mile End,E3,£750pcm,£174pw,house,,4,,new,Huge double room in fab Mile End house!,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,1,,14247724,London N4,N4,£730pcm,£169pw,flat,,4,,new,Lovely Clean Double Bedroom,offered,False,2020-01-27 02:47:34.811272
agent,28 Jan,bold,1,,13000678,Bethnal Green,E2,£737pcm,£170pw,flat,,6,,new,Double Room near Shoreditch Lots Of Storage,offered,False,2020-01-27 02:47:34.811272
live out landlord, 2 Feb,bold,1,,984913,Battersea,SW11,£750pcm,£174pw,property,,3,,new, Large Double Room Close to Clapham Junction,offered,False,2020-01-27 02:47:34.811272
agent, 1 Feb,bold,1,,13099354,Bethnal Green,E2,£694- £737pcm,£160- £170pw,flat,,5,,new,Vicky Park Double Room with Sofa *Look Now*,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,featured,4,,13932844,Bermondsey,SE16,£699- £800pcm,£162- £185pw,flat,,5,,new,5 Double Rooms! Bermondsey Station! (Lucey),offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,12449779,London NW10,NW10,£750pcm,£174pw,flat,,5,,new,Large Room Willesden Green Tube No Fees,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14526457,Stepney Green,E1,£650- £750pcm,£150- £173pw,flat,,6,,new,2 furnished spacious bedrooms @QMUL/Mile End,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14473645,Hackney,E5,£730pcm,£169pw,flat,,5,,new,Attractive Location...close to big Park...nice fla,offered,False,2020-01-27 02:47:34.811272
agent, 2 Feb,bold,1,,14526400,Tower Bridge,E1,£737pcm,£170pw,flat,,4,,new,Near Aldgate/1 stop from Bank Station/Furnished,offered,False,2020-01-27 02:47:34.811272
agent,10 Feb,bold,1,,3934655,Kensal Rise,NW10,£750- £800pcm,£174- £185pw,house,,4,,new,Double rooms 2min walk to Kensal Rise station!,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14523106,Stepney Green,E1,£750pcm,£173pw,flat,,4,,new,2 Furnished bedrooms @QMUL/Mile End/Stepney,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,14103400,Shepherds Bush,W12,"£2,228pcm",£514 pw,flat,,3,Y,new,Bright Three Bedroom Apartment Split Level,offered,False,2020-01-27 02:47:34.811272
live in landlord,31 Jan,bold,1,,8556541,London SE5,SE5,£700- £800pcm,£162- £185pw,flat,,4,,new,Huge flat 10 mins walk King's College Hospital,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,1,,12930829,Fulham,SW6,£750pcm,£174pw,flat,,2,,new,A spacious double room in Fulham to let,offered,False,2020-01-27 02:47:34.811272
other,Available Now,bold,1,,4623419,London SE14,SE14,£730pcm,£169pw,flat,,2,,new,LARGE ROOM IN SE14,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,featured,0,,14426119,Bethnal Green,E2,£680- £760pcm,£157- £176pw,flat,,4,,new,Amazing 4 Bedrooms Flat 5 Mins to Bethnal Gr Tube!,offered,False,2020-01-27 02:47:34.811272
current flatmate,25 Feb,bold,1,,9950431,Greenwich,SE10,£750pcm,£174pw,flat,,3,,new,Magnificent Room with View of Cutty Sark ,offered,False,2020-01-27 02:47:34.811272
current flatmate,28 Feb,bold,1,,14531146,Hackney Wick,E9,£740pcm,£171pw,flat,,2,,new,Double room in 2 bed flat,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,bold,2,,11341954,Whitechapel,E1,£672- £824pcm,£155- £190pw,house,,5,,new,Super clean lovely home - 4 rooms left,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,bold,2,,13584631,Queen's Park,NW6,£750pcm,£174pw,flat,,2,,new,Ideal for Commuter V Quiet Room-Gardens &Parking,offered,False,2020-01-27 02:47:34.811272
live out landlord, 2 Mar,bold,2,,4839345,Canary Wharf,E14,£750pcm,£174pw,flat,,2,,new,Weekday lodging in Canary Wharf,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Mar,bold,2,,12474730,London E8,E8,£750pcm,£174pw,flat,,2,,new,Room to let in Bethnal Green - £850,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,2,,14458543,Brick Lane,E1,£700- £750pcm,£162- £174pw,flat,,3,,new,2 Furnished Rooms - Whitechapel / Brick Lane,offered,False,2020-01-27 02:47:34.811272
agent,31 Jan,bold,2,,14452882,Acton,W3,£550- £850pcm,£127- £197pw,house,,5,,new,+++Luxury Rooms In Acton & Ensuites - Bills Inc,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14422042,All Saints,E14,£740pcm,£171pw,flat,,4,,new,Single Room in Brand New Property Available Now,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,13456411,Crossharbour,E14,£725pcm,£168pw,flat,,3,,new,Canary Wharf Double Room Available Now,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,featured,0,,2879637,Tower Bridge,E1,£750pcm,£173pw,property,,2,,new,Lovely Double Room mins from Bank Liverpool St,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,13512208,All Saints,E14,£750pcm,£174pw,flat,,3,,new,King Sized Double Room in Canary Wharf,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14529973,Shadwell,E1,£702- £850pcm,£162- £196pw,flat,,4,,new,Cheap & central 15 mins walk from Tower Bridge,offered,False,2020-01-27 02:47:34.811272
