advertiser-role,available,brand,days-old,early-bird,id,neighbourhood,postcode,price-per-month,price-per-week,property-type,property-type-more,rooms-in-property,scp,status,title,type,error,date scraped
former flatmate,Available Now,free,17,,12828772,Vauxhall,SW8,£542- £780pcm,£125- £180pw,flat,,3,,,Bright Double Room 5 min walk from Vauxhall ,offered,False,2020-01-27 02:47:34.811272
live in landlord, 2 May,free,18,,8847706,Angel,N1,£545pcm,£126pw,flat,,3,,,Beautiful flat - a stones throw from Angel tube!,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,21,,14298418,Camberwell,SE5,£550pcm,£127pw,flat,,2,,,"Very large double room in a flat in Camberwell,",offered,False,2020-01-27 02:47:34.811272
live in landlord,11 Feb,free,23,,3753597,Vauxhall,SW8,£560pcm,£130pw,flat,,3,,,Home  away from home👩‍👧‍👧,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,27,,10132525,Angel,N1,£550pcm,£127pw,flat,,4,,,Double room with double bed in Angel/Kings Cross,offered,False,2020-01-27 02:47:34.811272
current tenants, 1 Mar,free,0,Early Bird,14539039,London WC1H,WC1,"£1,500 pcm",£1pw,flat,,2,Y,new today,2 bed room flat avilable in kingscross zone 1,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,10303780,Vauxhall,SE11,£585pcm,£135pw,flat,,4,,new,Victoria next stop! Cheap Single,offered,False,2020-01-27 02:47:34.811272
current flatmate, 1 Mar,bold,0,,14504173,Islington,N1,£580pcm,£134pw,flat,,4,,new,New male Flatmate wanted,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,4213791,Wapping,E1,£600- £800pcm,£139- £185pw,house,,3,,new,Jan to March - short let -great location  2 rooms,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,12658012,Liverpool Street,EC2,£550- £875pcm,£127- £202pw,flat,,9,,new,Twin/double/Single rooms in Liverpool Street! ,offered,False,2020-01-27 02:47:34.811272
former flatmate,28 Feb,bold,1,,13800382,Bayswater,W2,£600- £860pcm,£139- £199pw,flat,,3,,new,Very large  and small double room,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,10040323,Old Street,N1,£585pcm,£135pw,flat,,5,,new,~Old Steet! Amazing price!  Couples welcome!~,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,13978585,Bayswater,W2,£585pcm,£135pw,flat,,2,,new,Twin room / 2 sharers / £135 pwk each person,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,12604777,Brick Lane,E1,£600pcm,£139pw,flat,,4,,new,Room*off Bricklane*shoredwitch*Aldgate-E1,offered,False,2020-01-27 02:47:34.811272
agent,27 Jan,bold,3,,14519167,Aldgate,E1,£600pcm,£139pw,flat,,6,,new,"Aldgate, Zone 1, Single Rooms for Rent (E1 1Jp)",offered,False,2020-01-27 02:47:34.811272
former flatmate,28 Jan,bold,4,,14412304,Bermondsey,SE16,£595pcm,£138pw,flat,,4,,new,A great student flat ,offered,False,2020-01-27 02:47:34.811272
agent, 1 Jun,bold,5,,12234769,Chelsea,SW10,"£4,000 pcm",£1pw,flat,,4,Y,new,Amazing Flat in SW10 for a group of 6 people max,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,1,Early Bird,3752295,London SE11,SE11,£600pcm,£139pw,flat,,2,,new,MON - FRI A lovely room available in Vauxhall,offered,False,2020-01-27 02:47:34.811272
live in landlord, 1 Feb,free,2,Early Bird,3020771,Essex Road,N1,£600pcm,£139pw,flat,,2,,new,Gay guy offered Tidy Room in Islington Flat,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,4,Early Bird,13807213,London Bridge,SE1,£600pcm,£139pw,flat,,3,,new,10 minutes walk from London Bridge station ,offered,False,2020-01-27 02:47:34.811272
live in landlord, 3 Feb,free,7,,14492587,London Bridge,SE1,£600pcm,£139pw,flat,,2,,,Double room near London Bridge,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,9,,13842997,Hoxton,N1,£600pcm,£139pw,property,,4,,,Immediately - Room Available in London,offered,False,2020-01-27 02:47:34.811272
current flatmate,30 Jan,free,9,,14480407,Shoreditch,E1,£600pcm,£139pw,flat,,3,,,Huge Double Room on Brick Lane,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,10,,505880,London N1,N1,£564- £650pcm,£130- £150pw,flat,,3,,,Fully Furnished Double & Single room All Inclusive,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,12,,4227590,Tower Bridge,E1,£600pcm,£139pw,flat,,4,,,Tower Bridge,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,12,,14460823,Battersea,SW8,£550- £600pcm,£127- £139pw,flat,,2,,,Double Room ,offered,False,2020-01-27 02:47:34.811272
current flatmate, 3 Feb,free,14,,14443162,Angel,N1,£600pcm,£139pw,house,,4,,,A room for rent,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,free,17,,12828772,Vauxhall,SW8,£542- £780pcm,£125- £180pw,flat,,3,,,Bright Double Room 5 min walk from Vauxhall ,offered,False,2020-01-27 02:47:34.811272
live out landlord,Available Now,free,19,,14291572,Elephant and Castle,SE17,£600pcm,£139pw,flat,,3,,,Large Single Room Available  - Zone 1 ,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,19,,14413588,Marylebone,NW8,£600pcm,£139pw,flat,,4,,,Housemate Wanted in a Lovely Flatshare in Zone 1,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,22,,6509803,Vauxhall,SE11,£600pcm,£139pw,flat,,2,,,Central London £600 pcm (cute dog lives here),offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,22,,6435520,Tower Bridge,E1,£600pcm,£139pw,flat,,3,,,Tower Bridge,offered,False,2020-01-27 02:47:34.811272
live out landlord,15 Feb,free,22,,4979110,Borough,SE1,£600pcm,£139pw,flat,,3,,,Furnished Double bedroom in Borough Bills included,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,24,,14302369,Hoxton,N1,£600pcm,£139pw,flat,,2,,,*****Room to Let in Hoxton N1*****,offered,False,2020-01-27 02:47:34.811272
current tenants, 1 Mar,free,0,Early Bird,14539039,London WC1H,WC1,"£1,500 pcm",£1pw,flat,,2,Y,new today,2 bed room flat avilable in kingscross zone 1,offered,False,2020-01-27 02:47:34.811272
former flatmate, 9 Feb,free,0,Early Bird,14538466,Waterloo,SE1,£615pcm,£142pw,flat,,4,,new today,Double Room in Central London - SE1,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,11316997,Elephant and Castle,SE1,£629pcm,£145pw,flat,,5,,new,Single room in Elephant and castle,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,0,,10525045,Aldgate East,E1,£607pcm,£140pw,flat,,4,,new,Cheap Single Central London,offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,bold,0,,4213791,Wapping,E1,£600- £800pcm,£139- £185pw,house,,3,,new,Jan to March - short let -great location  2 rooms,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,1,,12658012,Liverpool Street,EC2,£550- £875pcm,£127- £202pw,flat,,9,,new,Twin/double/Single rooms in Liverpool Street! ,offered,False,2020-01-27 02:47:34.811272
former flatmate,28 Feb,bold,1,,13800382,Bayswater,W2,£600- £860pcm,£139- £199pw,flat,,3,,new,Very large  and small double room,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14386252,Aldgate East,E1,£607pcm,£140pw,flat,,4,,new,Cozy room in Adlgate East NO FEES,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,14483644,Elephant and Castle,SE17,£629pcm,£145pw,flat,,5,,new,Wow great size of double room for single SE17,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,2,,13827829,Aldgate East,E1,£607pcm,£140pw,flat,,4,,new,Room in Aldgate East available NOW,offered,False,2020-01-27 02:47:34.811272
agent,Available Now,bold,3,,14500063,Hoxton,N1,£607pcm,£140pw,flat,,5,,new,Hoxton- Single room 140pw - From 23/01,offered,False,2020-01-27 02:47:34.811272
